state,bio,comp,edu,eng,geo,math,soc,all
Alabama,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.4
Alaska,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.4
Arizona,0.2,0.0,0.8,0.2,0.2,0.3,0.0,1.6
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
California,1.7,1.2,3.4,2.3,2.0,3.7,0.3,14.6
Colorado,0.2,0.1,0.3,0.3,14.9,0.1,0.0,16.0
Connecticut,0.2,0.0,0.1,0.3,0.1,0.2,0.1,1.0
Delaware,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.3
District of Columbia,0.0,0.0,0.7,0.1,0.3,6.0,0.4,7.6
Florida,0.1,0.1,0.5,1.1,0.4,0.4,0.0,2.6
Georgia,0.4,0.1,0.1,1.2,0.1,0.4,0.0,2.3
Guam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.4
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Illinois,0.4,0.4,0.8,0.3,0.2,1.6,0.2,3.8
Indiana,0.2,0.1,0.1,0.4,0.1,0.7,0.0,1.7
Iowa,0.1,0.0,0.2,0.1,0.0,0.1,0.1,0.5
Kansas,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.3
Kentucky,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.3
Louisiana,0.1,0.0,0.5,0.0,0.0,0.1,0.0,0.7
Maine,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.2
Maryland,0.3,0.1,1.1,0.4,0.2,0.4,0.1,2.7
Massachusetts,0.6,0.4,1.3,0.9,1.6,2.0,0.3,7.1
Michigan,0.3,0.3,0.8,0.4,0.1,0.7,0.1,2.7
Minnesota,0.5,0.1,0.2,0.1,0.1,0.2,0.0,1.2
Mississippi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Missouri,0.3,0.1,0.1,0.0,0.0,0.1,0.0,0.8
Montana,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.4
Nebraska,0.0,0.0,0.1,0.0,0.8,0.1,0.0,1.0
Nevada,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.2
New Hampshire,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.3
New Jersey,0.2,0.2,0.6,0.3,0.1,1.3,0.0,2.7
New Mexico,0.2,0.0,0.0,0.1,0.1,0.1,0.0,0.5
New York,0.7,0.4,1.3,0.6,1.0,1.2,0.2,5.4
North Carolina,0.4,0.1,0.2,0.3,0.1,0.3,0.1,1.5
North Dakota,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1
Ohio,0.2,0.1,1.4,0.2,0.1,0.4,0.1,2.5
Oklahoma,0.1,0.0,0.2,0.1,0.0,0.1,0.0,0.4
Oregon,0.2,0.1,0.3,0.1,0.3,0.1,0.0,1.1
Pennsylvania,0.5,0.7,1.2,0.6,0.2,0.6,0.2,4.0
Puerto Rico,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1
Rhode Island,0.1,0.0,0.1,0.1,0.2,0.1,0.0,0.6
South Carolina,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.4
South Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Tennessee,0.1,0.0,0.5,0.1,0.0,0.1,0.0,0.9
Texas,0.4,0.2,1.5,0.4,0.3,0.5,0.1,3.3
Utah,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.4
Vermont,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1
Virginia,0.4,0.2,0.4,0.2,0.1,0.2,0.0,1.5
Washington,0.2,0.1,0.3,0.2,0.6,0.3,0.0,1.6
West Virginia,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2
Wisconsin,0.2,0.0,0.8,0.1,0.1,0.2,0.1,1.5
Wyoming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
