state,bio,comp,edu,eng,geo,math,soc,all
Alabama,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.3
Alaska,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.5
Arizona,0.2,0.1,0.0,0.0,3.3,0.1,0.1,3.7
Arkansas,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1
California,2.2,1.8,0.0,3.6,7.1,2.9,0.4,17.9
Colorado,0.1,0.2,0.0,1.2,0.3,0.3,0.0,2.2
Connecticut,0.5,0.2,0.0,0.2,0.1,0.4,0.0,1.5
Delaware,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.3
District of Columbia,0.1,0.8,0.2,0.7,0.0,8.7,0.4,10.9
Florida,0.2,0.2,0.0,0.1,0.6,0.4,0.0,1.5
Georgia,0.5,0.2,0.0,0.2,0.1,0.1,0.0,1.1
Guam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii,0.2,0.1,0.0,0.1,0.3,0.1,0.0,0.7
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Illinois,0.6,0.5,0.0,1.4,0.4,1.6,0.7,5.2
Indiana,0.3,0.3,0.0,1.0,0.0,0.8,0.1,2.6
Iowa,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.4
Kansas,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.2
Kentucky,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2
Louisiana,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.4
Maine,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2
Maryland,0.4,0.3,0.0,0.8,0.3,0.4,0.1,2.4
Massachusetts,1.1,2.0,0.4,1.6,2.0,1.3,0.7,9.2
Michigan,0.6,0.3,0.0,0.4,0.1,0.6,0.3,2.3
Minnesota,0.2,0.1,0.0,0.1,0.1,0.3,0.0,0.7
Mississippi,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4
Missouri,0.3,0.1,0.0,0.4,0.1,0.2,0.0,1.1
Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Nebraska,0.0,0.0,0.0,0.0,1.1,0.1,0.0,1.2
Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
New Hampshire,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.3
New Jersey,0.2,0.4,0.0,0.7,0.1,0.4,0.2,1.9
New Mexico,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.2
New York,1.6,1.1,0.0,1.2,1.3,2.2,0.6,8.1
North Carolina,0.2,0.2,0.0,0.2,0.2,0.2,0.1,1.1
North Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Ohio,0.2,0.2,0.0,0.6,0.1,0.9,0.1,2.0
Oklahoma,0.1,0.1,0.2,0.1,0.1,0.1,0.0,0.7
Oregon,0.3,0.2,0.0,0.1,0.3,0.3,0.0,1.3
Pennsylvania,0.5,0.6,0.0,0.8,0.3,1.1,0.2,3.5
Puerto Rico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rhode Island,0.1,0.1,0.0,0.2,1.7,0.1,0.0,2.2
South Carolina,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2
South Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tennessee,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.5
Texas,0.2,0.4,0.0,0.4,0.8,0.5,0.1,2.3
Utah,0.9,0.1,0.0,0.2,0.1,0.2,0.0,1.5
Vermont,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Virginia,0.1,0.4,0.0,0.4,0.5,0.3,0.0,1.8
Washington,1.2,0.2,0.0,0.1,0.9,0.3,0.0,2.7
West Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Wisconsin,0.6,0.2,0.0,0.2,0.3,0.7,0.1,2.0
Wyoming,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2
