state,bio,comp,edu,eng,geo,math,soc,all
Alabama,0.1,0.1,0.3,0.2,0.0,0.1,0.0,0.7
Alaska,0.0,0.0,0.1,0.0,0.4,0.0,0.0,0.5
Arizona,0.3,0.3,0.2,0.5,0.2,0.2,0.2,1.8
Arkansas,0.0,0.1,0.1,0.2,0.0,0.0,0.0,0.3
California,1.0,2.3,1.9,2.8,1.7,2.8,0.7,13.2
Colorado,0.1,0.4,0.4,0.5,0.7,0.3,0.1,2.6
Connecticut,0.1,0.2,0.2,0.4,0.1,0.4,0.1,1.5
Delaware,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.5
District of Columbia,0.1,0.2,0.8,0.2,0.4,0.2,0.3,2.2
Florida,0.2,0.5,0.3,0.5,0.4,0.4,0.1,2.5
Georgia,0.3,0.5,0.5,0.6,0.2,0.3,0.1,2.5
Guam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii,0.0,0.2,0.0,0.0,0.2,0.1,0.0,0.6
Idaho,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.3
Illinois,0.3,1.6,0.6,1.1,0.1,0.9,0.3,4.8
Indiana,0.2,1.1,0.2,0.7,0.1,0.4,0.1,2.8
Iowa,0.1,0.1,0.2,0.2,0.1,0.2,0.0,0.9
Kansas,0.2,0.1,0.0,0.1,0.0,0.1,0.0,0.5
Kentucky,0.0,0.1,0.1,0.2,0.0,0.1,0.0,0.4
Louisiana,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.5
Maine,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.4
Maryland,0.2,0.5,0.4,0.7,0.3,0.7,0.5,3.1
Massachusetts,0.5,1.8,1.7,1.3,1.2,1.5,0.5,8.3
Michigan,0.3,0.6,0.7,0.9,0.1,0.8,0.3,3.6
Minnesota,0.0,0.3,0.2,0.3,0.2,0.5,0.0,1.6
Mississippi,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.3
Missouri,0.1,0.2,0.2,0.2,0.0,0.1,0.1,0.9
Montana,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.4
Nebraska,0.1,0.1,0.3,0.0,0.0,0.2,0.0,0.6
Nevada,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.4
New Hampshire,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.5
New Jersey,0.2,0.7,0.5,0.4,0.3,0.9,0.1,3.1
New Mexico,0.1,0.2,0.1,0.1,0.0,0.1,0.0,0.6
New York,0.5,1.5,1.1,1.3,0.9,1.6,0.4,7.4
North Carolina,0.3,0.7,0.6,0.5,0.3,0.4,0.2,2.9
North Dakota,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3
Ohio,0.1,0.3,0.4,0.5,0.1,0.7,0.1,2.3
Oklahoma,0.0,0.1,0.2,0.1,0.0,0.1,0.0,0.5
Oregon,0.2,0.3,0.2,0.2,0.4,0.2,0.1,1.6
Pennsylvania,0.3,1.8,0.9,1.4,0.3,1.0,0.3,5.9
Puerto Rico,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2
Rhode Island,0.0,0.2,0.0,0.2,0.2,0.1,0.1,0.8
South Carolina,0.0,0.1,0.2,0.2,0.1,0.1,0.0,0.7
South Dakota,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.4
Tennessee,0.2,0.2,0.4,0.2,0.0,0.2,0.0,1.2
Texas,0.3,1.2,0.9,1.3,0.2,0.8,0.2,5.0
Utah,0.1,0.4,0.2,0.3,0.1,0.2,0.0,1.3
Vermont,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2
Virginia,0.2,0.6,0.6,0.6,0.2,0.3,0.1,2.5
Washington,0.2,0.3,0.4,0.5,0.5,0.3,0.1,2.1
West Virginia,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2
Wisconsin,0.2,0.2,0.4,0.4,0.2,0.4,0.1,1.8
Wyoming,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.3
