state,bio,comp,edu,eng,geo,math,soc,all
Alabama,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Alaska,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.2
Arizona,0.2,0.1,0.0,0.1,0.2,0.3,0.0,0.9
Arkansas,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
California,2.9,5.0,0.1,1.2,2.2,3.5,0.4,15.2
Colorado,0.4,0.4,0.0,0.2,0.4,0.3,0.1,1.7
Connecticut,0.3,0.1,0.0,0.1,0.1,0.2,0.1,1.0
Delaware,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.2
District of Columbia,0.1,0.0,0.0,0.1,6.2,18.2,0.2,24.8
Florida,0.2,0.0,0.0,0.2,0.4,0.3,0.0,1.1
Georgia,0.3,0.0,0.1,0.1,0.1,0.1,0.0,0.7
Guam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.4
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Illinois,0.5,3.5,0.0,0.5,0.3,1.4,0.3,6.6
Indiana,0.3,0.4,0.0,0.4,0.1,2.0,0.0,3.2
Iowa,0.1,0.0,0.0,0.1,0.1,0.2,0.0,0.4
Kansas,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Kentucky,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.2
Louisiana,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.3
Maine,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.3
Maryland,0.4,0.0,0.0,0.1,0.4,0.5,0.1,1.7
Massachusetts,0.9,0.3,0.1,0.6,1.9,2.3,0.4,6.4
Michigan,0.3,0.0,0.1,0.2,0.2,1.0,0.2,2.1
Minnesota,0.2,0.6,0.0,0.2,0.1,0.3,0.0,1.3
Mississippi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Missouri,0.2,0.0,0.0,0.1,0.1,0.2,0.0,0.6
Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Nebraska,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.2
Nevada,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1
New Hampshire,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2
New Jersey,0.2,0.3,0.0,0.2,0.1,0.7,0.1,1.5
New Mexico,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1
New York,1.5,0.4,0.1,0.6,1.4,5.7,0.3,9.9
North Carolina,0.4,0.1,0.0,0.3,0.1,0.3,0.1,1.1
North Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ohio,0.2,0.0,0.0,0.2,0.1,0.7,0.1,1.2
Oklahoma,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.2
Oregon,0.3,0.0,0.0,0.1,0.3,0.2,0.0,0.8
Pennsylvania,0.7,0.2,0.0,0.5,0.2,1.4,0.2,3.2
Puerto Rico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Rhode Island,0.1,0.0,0.0,0.1,0.4,0.2,0.0,0.7
South Carolina,0.1,0.0,0.0,0.1,0.2,0.0,0.0,0.4
South Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tennessee,0.2,0.0,0.1,0.0,0.0,0.1,0.0,0.4
Texas,0.6,0.1,0.1,0.3,0.5,0.8,0.1,2.3
Utah,0.1,0.0,0.0,0.0,1.0,0.2,0.0,1.4
Vermont,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virginia,0.3,0.5,0.0,0.2,1.2,0.2,0.2,2.5
Washington,0.5,0.1,0.0,0.3,0.5,0.5,0.0,2.0
West Virginia,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
Wisconsin,0.4,0.0,0.0,0.2,0.1,0.5,0.1,1.4
Wyoming,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1
