state,bio,comp,edu,eng,geo,math,soc,all
Alabama,0.1,0.1,0.4,0.1,0.1,0.1,0.0,0.8
Alaska,0.0,0.0,0.1,0.0,2.2,0.0,0.0,2.3
Arizona,0.3,0.2,0.2,0.2,0.3,0.3,0.3,1.7
Arkansas,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.2
California,1.2,2.3,2.2,1.5,2.0,3.5,0.6,13.3
Colorado,0.4,0.2,0.3,0.3,2.6,0.3,0.1,4.1
Connecticut,0.2,0.1,0.2,0.2,0.1,0.2,0.1,1.0
Delaware,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.5
District of Columbia,0.1,0.3,0.4,0.1,1.5,6.4,0.1,8.9
Florida,0.2,0.4,0.3,0.3,0.4,0.3,0.1,1.8
Georgia,0.3,0.5,0.3,0.3,0.2,0.4,0.0,2.1
Guam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii,0.1,0.1,0.1,0.0,0.4,0.1,0.0,0.7
Idaho,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2
Illinois,0.4,1.2,0.6,0.6,0.2,0.8,0.3,4.1
Indiana,0.2,1.0,0.3,1.7,0.1,0.4,0.1,3.7
Iowa,0.2,0.1,0.2,0.2,0.0,0.1,0.0,0.8
Kansas,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.6
Kentucky,0.1,0.0,0.2,0.1,0.0,0.1,0.0,0.5
Louisiana,0.1,0.1,0.2,0.1,0.0,0.3,0.0,0.7
Maine,0.1,0.0,0.2,0.0,0.1,0.0,0.0,0.4
Maryland,0.4,0.4,0.2,0.3,0.3,0.6,0.1,2.3
Massachusetts,0.4,1.2,1.6,0.9,1.4,1.0,0.4,6.9
Michigan,0.8,0.5,0.5,0.5,0.1,0.6,0.2,3.1
Minnesota,0.3,0.3,0.1,0.2,0.2,0.5,0.1,1.5
Mississippi,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.4
Missouri,0.2,0.1,0.1,0.1,0.1,0.3,0.0,1.0
Montana,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.4
Nebraska,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.3
Nevada,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2
New Hampshire,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.4
New Jersey,0.2,0.3,0.6,0.2,0.2,0.8,0.1,2.4
New Mexico,0.2,0.0,0.2,0.1,0.1,0.1,0.0,0.7
New York,1.1,0.9,1.0,0.6,1.1,2.2,0.4,7.4
North Carolina,0.8,0.5,0.4,0.3,0.1,0.5,0.1,2.7
North Dakota,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.2
Ohio,0.3,0.2,0.3,0.5,0.1,0.6,0.1,2.1
Oklahoma,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.4
Oregon,0.2,0.2,0.3,0.1,0.3,0.1,0.1,1.2
Pennsylvania,0.5,1.0,0.7,0.6,0.2,0.7,0.3,3.9
Puerto Rico,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.3
Rhode Island,0.1,0.1,0.1,0.1,0.2,0.3,0.0,0.8
South Carolina,0.1,0.1,0.1,0.2,0.1,0.1,0.0,0.6
South Dakota,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.3
Tennessee,0.2,0.4,0.3,0.2,0.0,0.2,0.0,1.4
Texas,0.5,0.8,0.7,0.7,0.3,0.9,0.2,4.0
Utah,0.1,0.1,0.1,0.1,0.1,0.2,0.0,0.7
Vermont,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.2
Virginia,0.2,0.3,0.4,0.4,0.3,0.3,0.1,2.0
Washington,0.3,0.2,0.3,0.2,0.4,0.2,0.1,1.8
West Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Wisconsin,0.4,0.2,0.3,0.2,0.6,0.4,0.1,2.1
Wyoming,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2
