state,bio,comp,edu,eng,geo,math,soc,all
Alabama,0.1,0.0,0.4,0.2,0.1,0.1,0.0,0.9
Alaska,0.1,0.0,0.1,0.0,0.5,0.0,0.0,0.7
Arizona,0.8,0.3,0.8,0.2,0.1,0.4,0.1,2.8
Arkansas,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.3
California,2.3,1.4,2.7,1.4,2.3,3.9,0.6,14.6
Colorado,0.3,0.4,0.6,0.4,3.7,0.3,0.1,5.7
Connecticut,0.2,0.1,0.1,0.2,0.1,0.3,0.1,1.1
Delaware,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.5
District of Columbia,0.3,0.1,0.7,0.1,0.3,0.2,0.2,1.9
Florida,0.3,0.2,0.3,0.3,0.5,0.7,0.0,2.2
Georgia,0.3,0.3,0.3,0.3,0.3,0.2,0.0,1.7
Guam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii,0.1,0.0,0.1,0.0,0.2,0.1,0.0,0.4
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Illinois,0.5,0.8,0.4,0.4,0.4,1.1,0.2,3.8
Indiana,0.5,0.4,0.3,0.2,0.1,0.7,0.1,2.1
Iowa,0.2,0.2,0.2,0.2,0.1,0.2,0.0,0.9
Kansas,0.2,0.1,0.1,0.0,0.0,0.2,0.0,0.5
Kentucky,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.4
Louisiana,0.1,0.0,0.1,0.1,0.0,0.4,0.0,0.8
Maine,0.1,0.0,0.3,0.0,0.1,0.0,0.0,0.6
Maryland,0.5,0.4,0.6,0.3,0.5,0.7,0.1,3.1
Massachusetts,0.6,0.6,1.5,1.9,2.0,1.0,0.3,7.9
Michigan,0.6,0.2,1.5,1.4,0.3,0.8,0.2,5.0
Minnesota,0.2,0.2,0.3,0.3,0.2,0.3,0.2,1.5
Mississippi,0.0,0.1,0.5,0.0,0.0,0.1,0.0,0.7
Missouri,0.4,0.1,0.3,0.1,0.1,0.2,0.1,1.2
Montana,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.3
Nebraska,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.3
Nevada,0.1,0.0,0.2,0.0,0.1,0.0,0.0,0.4
New Hampshire,0.1,0.0,0.0,0.1,0.2,0.0,0.2,0.6
New Jersey,0.3,0.3,0.4,0.2,0.3,0.5,0.1,2.0
New Mexico,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.6
New York,1.0,0.6,1.4,0.7,1.0,1.7,0.4,6.8
North Carolina,0.6,0.2,1.1,0.3,0.2,0.4,0.1,2.9
North Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Ohio,0.4,0.1,0.3,0.4,0.2,0.5,0.1,1.9
Oklahoma,0.1,0.0,0.2,0.1,0.1,0.1,0.0,0.6
Oregon,0.2,0.2,0.4,0.1,0.7,0.1,0.0,1.6
Pennsylvania,0.5,0.8,1.5,0.7,0.2,1.0,0.4,5.1
Puerto Rico,0.0,0.1,0.1,0.0,0.0,0.3,0.0,0.6
Rhode Island,0.1,0.0,0.1,0.1,0.2,0.2,0.1,0.7
South Carolina,0.1,0.0,0.3,0.1,0.1,0.1,0.0,0.7
South Dakota,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.4
Tennessee,0.1,0.1,0.3,0.2,0.1,0.2,0.0,1.0
Texas,0.4,0.7,1.9,0.4,0.3,0.6,0.1,4.4
Utah,0.1,0.1,0.1,0.1,0.1,0.3,0.0,0.9
Vermont,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Virginia,0.4,0.3,0.8,0.4,0.3,0.4,0.1,2.5
Washington,0.3,0.2,0.5,0.2,0.8,0.2,0.0,2.3
West Virginia,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.3
Wisconsin,0.3,0.2,0.3,0.2,0.3,0.3,0.1,1.6
Wyoming,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3
