state,bio,comp,edu,eng,geo,math,soc,all
Alabama,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.3
Alaska,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3
Arizona,0.2,0.1,0.0,0.2,0.2,0.6,0.0,1.4
Arkansas,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2
California,2.7,1.6,0.1,2.5,2.8,5.2,0.6,15.4
Colorado,0.4,0.3,0.0,0.3,0.4,0.6,0.0,2.0
Connecticut,0.4,0.2,0.0,0.2,0.1,0.3,0.1,1.3
Delaware,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2
District of Columbia,0.2,0.3,0.2,0.3,0.3,11.8,0.4,13.4
Florida,0.3,0.2,0.0,0.1,1.3,0.3,0.0,2.2
Georgia,0.5,0.2,0.0,0.1,0.1,0.2,0.0,1.1
Guam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii,0.1,0.0,0.0,0.0,0.3,0.1,0.0,0.6
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Illinois,0.9,0.7,0.0,0.7,0.4,2.2,0.4,5.2
Indiana,0.5,0.4,0.0,0.3,0.1,0.7,0.1,2.1
Iowa,0.1,0.2,0.0,0.1,0.1,0.1,0.0,0.6
Kansas,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.4
Kentucky,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.3
Louisiana,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.4
Maine,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.3
Maryland,0.3,0.8,0.0,0.2,0.2,0.7,0.0,2.3
Massachusetts,1.3,1.1,0.0,1.1,1.8,3.1,0.6,9.0
Michigan,0.5,0.4,0.0,0.4,0.1,0.8,0.4,2.5
Minnesota,0.4,0.2,0.0,0.2,0.1,0.5,0.1,1.5
Mississippi,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.2
Missouri,0.3,0.1,0.0,0.2,0.1,0.2,0.1,0.8
Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Nebraska,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.3
Nevada,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.2
New Hampshire,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.4
New Jersey,0.2,0.3,0.0,0.2,0.1,1.1,0.1,1.9
New Mexico,0.1,0.4,0.0,0.1,0.0,0.0,0.0,0.5
New York,1.8,1.4,0.1,1.5,1.5,4.8,0.5,11.5
North Carolina,0.5,0.3,0.0,0.1,0.2,0.2,0.1,1.5
North Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Ohio,0.3,0.3,0.0,0.2,0.1,0.9,0.0,1.9
Oklahoma,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.3
Oregon,0.3,0.2,0.0,0.1,0.4,0.3,0.0,1.4
Pennsylvania,0.7,0.5,0.0,0.6,0.2,2.4,0.2,4.7
Puerto Rico,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1
Rhode Island,0.1,0.1,0.0,0.2,0.5,0.9,0.0,1.9
South Carolina,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.3
South Dakota,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1
Tennessee,0.2,0.1,0.0,0.0,0.0,0.2,0.0,0.6
Texas,0.5,0.4,0.0,0.4,0.2,0.7,0.1,2.4
Utah,0.2,0.1,0.0,0.1,0.0,0.3,0.0,0.8
Vermont,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1
Virginia,0.3,0.4,0.0,0.3,0.1,0.3,0.1,1.4
Washington,0.3,0.2,0.1,0.2,0.5,0.4,0.0,1.6
West Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Wisconsin,0.4,0.3,0.0,0.3,0.3,0.6,0.2,2.0
Wyoming,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2
